Number,State,Value,Param learning_rate,Param max_depth,Param n_estimators,Param reg_alpha,Param reg_lambda
55,COMPLETE,0.9527865534716522,0.06893763732070733,8,120,0.001,0.1
56,COMPLETE,0.9522454644682753,0.037039200707867106,8,120,0.001,0.1
57,COMPLETE,0.9527868279503486,0.061831514736810284,8,78,0.1,0.001
58,COMPLETE,0.9514341054419061,0.046154083839344655,8,64,0.1,0.001
59,COMPLETE,0.9522453729753766,0.06786697276585926,8,86,0.001,0.001
60,COMPLETE,0.9521102379638805,0.0937253492492845,4,89,0.001,0.1
61,COMPLETE,0.9537333219882139,0.08002870149931585,8,120,0.1,0.1
62,COMPLETE,0.953598461455414,0.07064387000529562,8,120,0.1,0.1
63,COMPLETE,0.9534627774865253,0.0688304379193081,8,120,0.1,0.001
64,COMPLETE,0.9526511439814598,0.08000273229998885,8,120,0.1,0.1
65,COMPLETE,0.9530569149875433,0.04218093019877933,8,120,0.1,0.1
66,COMPLETE,0.9519752859381819,0.06593319486262433,2,120,0.1,0.1
67,COMPLETE,0.9522452814824778,0.08785017189503046,8,100,0.04579492655355315,0.1
68,COMPLETE,0.9522457389469716,0.08187201211374853,2,120,0.1,0.001
69,COMPLETE,0.9525157344912675,0.06879652399287262,8,120,0.1,0.001
70,COMPLETE,0.9531924159706344,0.09049866121986239,8,120,0.001,0.1
71,COMPLETE,0.9540039579828011,0.09999999999999999,8,120,0.1,0.001
72,COMPLETE,0.9525160089699638,0.1,8,90,0.001,0.001
73,COMPLETE,0.9540039579828011,0.1,8,120,0.1,0.001
74,COMPLETE,0.9540039579828011,0.1,8,120,0.1,0.001
75,COMPLETE,0.9540039579828011,0.1,8,120,0.1,0.001
76,COMPLETE,0.9533276424750292,0.09631359632859217,8,120,0.1,0.001
77,COMPLETE,0.9540039579828011,0.1,8,120,0.09999999999999999,0.001
78,COMPLETE,0.9540039579828011,0.1,8,120,0.1,0.001
79,COMPLETE,0.9517041924791008,0.05176551016054721,8,120,0.1,0.001
80,COMPLETE,0.9540039579828011,0.09999999999999999,8,120,0.1,0.001
81,COMPLETE,0.952921871468946,0.036226845519465804,8,120,0.1,0.001
82,COMPLETE,0.9522452814824778,0.06455575114724109,8,87,0.1,0.1
83,COMPLETE,0.9502163349591621,0.061113369147218675,2,68,0.1,0.001
84,COMPLETE,0.9540039579828011,0.1,8,120,0.1,0.001
85,COMPLETE,0.9540037749970036,0.1,8,103,0.1,0.001
86,COMPLETE,0.9538686399855075,0.1,8,104,0.1,0.001
87,COMPLETE,0.9540039579828011,0.09999999999999999,8,120,0.1,0.001
88,COMPLETE,0.9540039579828011,0.1,8,120,0.1,0.001
89,COMPLETE,0.9540039579828011,0.09999999999999999,8,120,0.1,0.001
90,COMPLETE,0.9538686399855075,0.1,8,104,0.1,0.001
91,COMPLETE,0.9540039579828011,0.1,8,120,0.1,0.001
92,COMPLETE,0.954139184487196,0.1,8,105,0.1,0.001
93,COMPLETE,0.954139184487196,0.09999999999999999,8,105,0.1,0.001
94,COMPLETE,0.9540039579828011,0.1,8,120,0.1,0.0010000000000000113
95,COMPLETE,0.9542745024844898,0.1,8,106,0.1,0.001
96,COMPLETE,0.952516374941559,0.0386998826413781,8,87,0.001,0.001
97,COMPLETE,0.9504872454324458,0.037936126651943194,2,120,0.1,0.001
98,COMPLETE,0.9523808739584677,0.09999999999999999,8,99,0.1,0.03741059489470564
99,COMPLETE,0.9517042839719995,0.09999999999999999,8,120,0.06829720227524132,0.001
100,COMPLETE,0.9533275509821305,0.07904675615065991,8,120,0.001,0.1
101,COMPLETE,0.952786644964551,0.036572962884218345,8,120,0.1,0.1
102,COMPLETE,0.9534633264439181,0.0957772588499154,8,120,0.1,0.001
103,COMPLETE,0.9533272765034342,0.03669417105720746,8,120,0.001,0.001
104,COMPLETE,0.9533280999395233,0.1,5,120,0.1,0.001
105,COMPLETE,0.9522452814824778,0.040163624740125296,8,120,0.05541324100318843,0.04396692135579669
106,COMPLETE,0.9531923244777356,0.07307477582929327,8,120,0.001,0.001
107,COMPLETE,0.9537335049740113,0.1,8,88,0.1,0.001
108,COMPLETE,0.9519753774310807,0.1,2,120,0.1,0.1
109,COMPLETE,0.951974828473688,0.031891860977703225,8,120,0.001,0.001
110,COMPLETE,0.9522451899895789,0.09586393771630464,8,120,0.09999999999999999,0.001
111,COMPLETE,0.9542741365128945,0.06318477039623635,8,120,0.001,0.1
112,COMPLETE,0.9533272765034342,0.0632278281492655,8,120,0.001,0.1
113,COMPLETE,0.9535982784696166,0.06584966198537594,8,120,0.1,0.1
114,COMPLETE,0.952921871468946,0.06239949991650994,8,120,0.001,0.05533830888986807
